ECG_R_Peaks,ECG_Q_Peaks,ECG_S_Peaks,ECG_R_Onsets,ECG_T_Peaks,ECG_P_Onsets,ECG_T_Onsets,ECG_R_Offsets,HRV_RMSSD,HRV_MeanNN,HRV_SDNN,HRV_CVNN,HRV_LF,HRV_HF,HRV_LFHF,Label
11,11,11,11,11,11,11,11,519.9574940419892,1251.6666666666665,444.3174973020747,0.35498069025465356,,,,0
18,18,18,18,18,18,18,18,200.8817849192546,702.124183006536,141.62761380213044,0.20171305479847296,,,,0
10,10,10,10,10,10,10,10,22.609473050138547,1356.7901234567898,17.01664439767514,0.012541839819942554,,,,0
10,10,10,10,10,10,10,10,419.3237041083661,1235.493827160494,337.0475298529461,0.2728038962586923,,,,1
12,12,12,12,12,12,12,12,408.0148039555839,1046.7171717171716,320.03765736618476,0.3057537088468255,,,,1
12,12,12,12,12,12,12,12,34.03202921287061,1129.7979797979797,44.32433264750258,0.03923208701030627,,,,1
10,10,10,10,10,10,10,10,33.79312516832343,1373.456790123457,53.93667538872807,0.03927074792347841,,,,0
18,18,18,18,18,18,18,18,284.3086427124361,749.5098039215686,265.24911729651336,0.35389679482334024,,,,0
15,15,15,15,15,15,15,15,207.99402568306635,956.5476190476192,150.547462262587,0.15738627044253026,,,,0
10,10,10,10,10,10,10,10,11.410886614690954,1389.1975308641975,21.129580939340773,0.01520991829448214,,,,1
11,11,11,11,11,11,11,11,388.6352788573949,1302.5,417.3439967937815,0.3204176558877401,,,,1
10,10,10,10,10,10,10,10,68.9566199294801,1318.5185185185187,45.34674365920701,0.034392193224679464,,,,1
10,10,10,10,10,10,10,10,6.944444444444457,1279.9382716049383,14.148802583274236,0.01105428511449446,,,,1
11,11,11,11,11,11,11,11,616.8536308723804,1247.7777777777778,432.0628732888568,0.34626588242205797,,,,0
14,14,14,14,14,14,14,14,4.088778178855508,915.8119658119657,5.244119696353253,0.005726196961953623,,,,0
17,17,17,17,17,17,17,17,408.13172145474454,810.4166666666667,315.2755343369357,0.38902893697102603,,,,0
14,14,14,14,14,14,14,14,250.2326592290781,986.3247863247864,272.9239385951873,0.2767079793382748,,,,1
9,9,9,9,9,9,9,9,24.284287747292513,1511.111111111111,18.124106740744836,0.011993894166669376,,,,1
20,20,20,20,20,20,20,20,416.90682379358054,660.6725146198831,237.52168184529506,0.3595150041650405,,,,1
11,11,11,11,11,11,11,11,337.0815497671382,1271.9444444444446,293.79280909790936,0.23097927773585358,,,,0
14,14,14,14,14,14,14,14,15.651982874423105,994.2307692307693,18.054185790689537,0.0181589489577535,,,,0
12,12,12,12,12,12,12,12,42.14539794451147,1139.89898989899,34.52215086161684,0.030285271912273523,,,,0
15,15,15,15,15,15,15,15,351.5170284247331,911.904761904762,227.69288748381598,0.2496893283112342,,,,1
15,15,15,15,15,15,15,15,40.940973887170905,897.420634920635,62.460474545728076,0.06959999816724949,,,,1
15,15,15,15,15,15,15,15,54.465807774458035,919.6428571428572,36.43777765193205,0.039621661136081454,,,,0
20,20,20,20,20,20,20,20,341.4922268735983,670.6140350877192,250.45451787890514,0.3734704386945087,,,,0
12,12,12,12,12,12,12,12,29.199716724484276,1153.2828282828284,35.08847243565276,0.030424863333738762,,,,1
11,11,11,11,11,11,11,11,307.6401952150177,1178.8888888888887,278.8534727401817,0.23653923229610138,,,,0
11,11,11,11,11,11,11,11,23.46085085059242,1323.0555555555557,25.460437585206133,0.019243664771518385,,,,0
11,11,11,11,11,11,11,11,713.6348445514867,1127.5,448.68243709251783,0.3979445118337187,,,,1
15,15,15,15,15,15,15,15,490.76042803062035,916.4682539682542,334.54101788399475,0.36503284913083633,,,,1
12,12,12,12,12,12,12,12,519.2446139689872,1164.89898989899,368.93087262609976,0.31670632031202145,,,,0
18,18,18,18,18,18,18,18,379.33070322267264,733.0065359477125,286.28110233366243,0.3905573665363384,,,,0
10,10,10,10,10,10,10,10,13.139505505850316,1362.9629629629628,30.68155838107568,0.02251092598611531,,,,1
11,11,11,11,11,11,11,11,273.057109750296,1225.5555555555554,400.15172019742056,0.3265063900069615,,,,1
17,17,17,17,17,17,17,17,416.6660493822588,769.7916666666667,286.9770696020263,0.37279835834633995,,,,1
13,13,13,13,13,13,13,13,341.9570499608939,1072.4537037037037,333.3869029625578,0.31086367813473986,,,,1
10,10,10,10,10,10,10,10,145.14719540291966,1379.9382716049383,116.65656187868423,0.08453752191611202,,,,1
15,15,15,15,15,15,15,15,399.293060005156,841.6666666666667,291.1870293125812,0.34596478730207664,,,,0
10,10,10,10,10,10,10,10,436.1088994989924,1316.358024691358,357.822753288439,0.2718278360268564,,,,0
10,10,10,10,10,10,10,10,21.040635288254283,1267.9012345679012,21.83301133805851,0.017219804463317813,,,,0
11,11,11,11,11,11,11,11,363.42799008614094,1249.7222222222222,314.2354418177171,0.2514442299497181,,,,1
12,12,12,12,12,12,12,12,740.7745362660943,1106.3131313131314,517.3324427688541,0.46761846002389,,,,1
11,11,11,11,11,11,11,11,140.2219972215526,1235.0,130.36958122656782,0.10556241394863791,,,,1
9,9,9,9,9,9,9,9,301.63977196022853,1443.4027777777778,379.1668483632334,0.2626895653803493,,,,0
8,8,8,8,8,8,8,8,49.091541265968694,1666.6666666666665,41.54302643365656,0.024925815860193937,,,,0
13,13,13,13,13,13,13,13,8.458653648709216,1054.398148148148,6.851226197661452,0.006497760082085066,,,,0
12,12,12,12,12,12,12,12,266.67679378918405,1149.2424242424242,362.75287244162035,0.31564521530846334,,,,0
21,21,21,21,21,21,21,21,393.22147945379794,644.3055555555555,204.93321904709802,0.3180683718773671,,,,0
20,20,20,20,20,20,20,20,205.89207522202457,634.3567251461988,168.61568862721805,0.26580578709614466,,,,1
11,11,11,11,11,11,11,11,58.48745073093988,1213.0555555555557,51.68707283201853,0.04260899065611786,,,,1
16,16,16,16,16,16,16,16,9.09241209316638,859.4444444444446,7.772106776092151,0.009043175305084597,,,,1
11,11,11,11,11,11,11,11,336.014168245928,1286.9444444444446,300.6538656222139,0.23361837173321173,,,,0
11,11,11,11,11,11,11,11,681.5972123953636,1226.6666666666667,470.0370647615538,0.3831823897512666,,,,0
13,13,13,13,13,13,13,13,302.29783107995564,1021.2962962962964,184.90804177538126,0.18105229838387285,,,,0
12,12,12,12,12,12,12,12,10.794088459847464,1141.6666666666667,8.871510790372941,0.007770666385728123,,,,1
22,22,22,22,22,22,22,22,140.3767527621628,630.5555555555557,91.10094794264977,0.14447727427028154,,0.07454039367094066,,1
10,10,10,10,10,10,10,10,24.31547416668276,1402.7777777777778,25.077041785094167,0.017876703054720593,,,,1
11,11,11,11,11,11,11,11,36.85138655950441,1223.611111111111,39.873987037286035,0.032587140370994264,,,,1
11,11,11,11,11,11,11,11,508.485944844351,1154.4444444444446,407.45412190091616,0.3529438977005048,,,,0
14,14,14,14,14,14,14,14,38.78126642483968,963.2478632478633,28.8040475638762,0.02990304849133554,,,,0
11,11,11,11,11,11,11,11,28.054180384339137,1294.1666666666667,20.598470384165736,0.01591639694848608,,,,1
10,10,10,10,10,10,10,10,78.52444181885637,1270.679012345679,48.89029178682995,0.03847572149364319,,,,1
10,10,10,10,10,10,10,10,35.01267407209868,1275.6172839506173,54.99329676073741,0.04311112545482439,,,,0
12,12,12,12,12,12,12,12,155.8652670785942,1080.5555555555557,85.59883465227296,0.07921743052652509,,,,0
